id,bespoke_id,alt_generic_id
4,4.0,42048.0
20,20.0,41985.0
22,22.0,42243.0
26,26.0,41911.0
30,30.0,42104.0
31,31.0,42104.0
38,38.0,42284.0
40,40.0,42048.0
46,46.0,42104.0
48,48.0,42243.0
49,49.0,42243.0
53,53.0,42048.0
55,55.0,42243.0
58,58.0,42104.0
61,61.0,42048.0
64,64.0,41985.0
68,68.0,41911.0
72,72.0,42104.0
76,76.0,42091.0
80,80.0,42091.0
81,81.0,42048.0
90,90.0,42243.0
102,102.0,41911.0
108,108.0,42243.0
112,112.0,41911.0
113,113.0,42153.0
114,114.0,42227.0
115,115.0,42104.0
116,116.0,42104.0
126,126.0,41977.0
129,129.0,42048.0
136,136.0,41911.0
137,137.0,42243.0
141,141.0,41914.0
143,143.0,42104.0
158,158.0,42217.0
162,162.0,41914.0
165,165.0,42243.0
170,170.0,41977.0
175,175.0,42190.0
178,178.0,41911.0
179,179.0,42227.0
187,187.0,42117.0
203,203.0,42243.0
207,207.0,41911.0
208,208.0,42227.0
209,209.0,42104.0
218,218.0,42162.0
222,222.0,42162.0
228,228.0,41911.0
231,231.0,42243.0
232,232.0,42104.0
238,238.0,42048.0
242,242.0,42021.0
243,243.0,42243.0
247,247.0,41911.0
251,251.0,42048.0
256,256.0,42021.0
281,281.0,42243.0
282,282.0,41911.0
285,285.0,42104.0
300,300.0,42048.0
302,302.0,41985.0
306,306.0,42243.0
308,308.0,42064.0
310,310.0,42064.0
311,311.0,41911.0
314,314.0,41914.0
327,327.0,42243.0
334,334.0,42243.0
336,336.0,41914.0
340,340.0,41911.0
343,343.0,42190.0
345,345.0,41911.0
349,349.0,41985.0
356,356.0,42243.0
359,359.0,41911.0
360,360.0,41911.0
361,361.0,42227.0
363,363.0,41914.0
364,364.0,42104.0
376,376.0,42243.0
383,383.0,41959.0
386,386.0,41911.0
388,388.0,41914.0
398,398.0,42243.0
401,401.0,41911.0
402,402.0,42227.0
403,403.0,42104.0
409,409.0,42048.0
422,422.0,41922.0
426,426.0,42021.0
431,431.0,41914.0
433,433.0,41914.0
442,442.0,42217.0
457,457.0,42190.0
458,458.0,42190.0
460,460.0,42048.0
468,468.0,42243.0
477,477.0,41911.0
486,486.0,41959.0
488,488.0,42048.0
490,490.0,42243.0
494,494.0,42134.0
496,496.0,41911.0
514,514.0,42217.0
521,521.0,41914.0
528,528.0,42048.0
529,529.0,41959.0
530,530.0,41911.0
533,533.0,42190.0
534,534.0,41911.0
538,538.0,42187.0
545,545.0,42217.0
548,548.0,41914.0
551,551.0,42243.0
569,569.0,42243.0
576,576.0,42243.0
583,583.0,42133.0
588,588.0,42162.0
592,592.0,41911.0
600,600.0,41977.0
610,610.0,42227.0
611,611.0,41911.0
616,616.0,42104.0
625,625.0,41977.0
632,632.0,42162.0
636,636.0,41911.0
639,639.0,42104.0
640,640.0,42104.0
657,657.0,42243.0
658,658.0,41911.0
660,660.0,42227.0
661,661.0,42104.0
667,667.0,42048.0
668,668.0,41985.0
669,669.0,42243.0
672,672.0,42243.0
674,674.0,41911.0
676,676.0,42227.0
677,677.0,42104.0
690,690.0,41977.0
693,693.0,42243.0
700,700.0,41914.0
707,707.0,41911.0
709,709.0,42190.0
712,712.0,42048.0
722,722.0,42162.0
726,726.0,42243.0
739,739.0,41985.0
740,740.0,42243.0
745,745.0,41911.0
746,746.0,42227.0
747,747.0,42104.0
748,748.0,42104.0
759,759.0,42048.0
762,762.0,42227.0
768,768.0,42104.0
