id,product_id,size,variant_price,description
44,4,Shoe Childs UK 6-8H,8.0,Banner Triple Pack White PE Socks-White
45,4,Shoe Childs UK 9-12,8.0,Banner Triple Pack White PE Socks-White
46,4,Shoe Childs UK 12-2,8.0,Banner Triple Pack White PE Socks-White
47,4,Shoe UK 11-13,9.0,Banner Triple Pack White PE Socks-White
50,6,Shoe Childs UK 6-8H,7.0,Pex Award 5 Pair Pack Short Socks-Grey
51,6,Shoe Childs UK 9-12,7.0,Pex Award 5 Pair Pack Short Socks-Grey
52,6,Shoe Childs UK 12H-3H,7.0,Pex Award 5 Pair Pack Short Socks-Grey
53,6,Shoe UK 4-7,7.0,Pex Award 5 Pair Pack Short Socks-Grey
54,6,Shoe UK 7-11,7.0,Pex Award 5 Pair Pack Short Socks-Grey
56,7,Shoe Childs UK 6-8H,7.0,Pex Award 5 Pair Pack Short Socks-White
57,7,Shoe Childs UK 9-12,7.0,Pex Award 5 Pair Pack Short Socks-White
58,7,Shoe Childs UK 12H-3H,7.0,Pex Award 5 Pair Pack Short Socks-White
59,7,Shoe UK 11-13,7.0,Pex Award 5 Pair Pack Short Socks-White
60,7,Shoe UK 4-7,7.0,Pex Award 5 Pair Pack Short Socks-White
61,7,Shoe UK 7-11,7.0,Pex Award 5 Pair Pack Short Socks-White
168,20,Age 2,13.0,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
169,20,Age 3-4,13.0,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
170,20,Age 5-6,14.25,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
171,20,Age 7-8,14.25,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
172,20,Age 9-10,14.25,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
173,20,Age 11-12,14.25,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
174,20,Age 13,15.5,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
175,20,Small,18.0,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
176,20,Medium,18.0,Abbey Meads (Swindon) Crew Sweatshirt-Light Royal
178,21,Age 2,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
179,21,Age 3-4,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
180,21,Age 5-6,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
181,21,Age 7-8,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
182,21,Age 9-10,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
183,21,Age 11-12,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
184,21,Age 13,15.5,Abbey Meads (Swindon) V Neck Sweatshirt-Light Royal
186,22,Age 3-4,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
187,22,Age 4-5,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
188,22,Age 5-6,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
189,22,Age 6-7,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
190,22,Age 8-9,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
191,22,Age 9-10,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
192,22,Age 10-11,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
