schoolsupplier_id,store_page,raw_name,urn,schoolsupplier_id,school_name,supplier_code
0,https://www.monkhouse.com/school/abbey-farm-educate-together-primary-urn-149038/,Abbey Farm Educate Together Primary (URN-149038),149038,0.0,Abbey Farm Educate Together Primary,mon
1,https://www.monkhouse.com/school/abbey-meads-community-primary-school-urn-146073/,Abbey Meads Community Primary School (URN-146073),146073,1.0,Abbey Meads Community Primary School,mon
2,https://www.monkhouse.com/school/abbey-park-first-nursery-school-urn-116716/,Abbey Park First & Nursery School (URN-116716),116716,2.0,Abbey Park First & Nursery School,mon
3,https://www.monkhouse.com/school/abbey-park-middle-school-urn-116774/,Abbey Park Middle School (URN-116774),116774,3.0,Abbey Park Middle School,mon
4,https://www.monkhouse.com/school/abbeymead-primary-school-urn-115601/,Abbeymead Primary School (URN-115601),115601,4.0,Abbeymead Primary School,mon
5,https://www.monkhouse.com/school/abbeymead-under-5-s-urn-101450/,Abbeymead Under Fives Playgroup (URN-101450),101450,5.0,Abbeymead Under Fives Playgroup,mon
6,https://www.monkhouse.com/school/abbotsholme-school-urn-113003/,Abbotsholme School (URN-113003),113003,6.0,Abbotsholme School,mon
7,https://www.monkhouse.com/school/abbotswood-primary-school-urn-132199/,Abbotswood Primary School (URN-132199),132199,7.0,Abbotswood Primary School,mon
8,https://www.monkhouse.com/school/acre-hall-primary-school-urn-138977/,Acre Hall Primary School (URN-138977),138977,8.0,Acre Hall Primary School,mon
9,https://www.monkhouse.com/school/alderbrook-school-urn-136994/,Alderbrook School (URN-136994),136994,9.0,Alderbrook School,mon
10,https://www.monkhouse.com/school/alderley-edge-school-for-girls-urn-111478/,Alderley Edge School for Girls (URN-111478),111478,10.0,Alderley Edge School for Girls,mon
11,https://www.monkhouse.com/school/alexander-hosea-primary-school-urn-109023/,Alexander Hosea Primary School (URN-109023),109023,11.0,Alexander Hosea Primary School,mon
12,https://www.monkhouse.com/school/alexandra-park-junior-school-urn-105626/,Alexandra Park Junior School (URN-105626),105626,12.0,Alexandra Park Junior School,mon
13,https://www.monkhouse.com/school/alice-ingham-r-c-school-urn-144982/,Alice Ingham R.C. School (URN-144982),144982,13.0,Alice Ingham R.C. School,mon
14,https://www.monkhouse.com/school/all-faiths-children-s-academy-urn-138182/,All Faiths Children's Academy (URN-138182),138182,14.0,All Faiths Children's Academy,mon
15,https://www.monkhouse.com/school/all-saints-c-e-primary-school-heaton-norris-urn-106103/,All Saints C. E. Primary School (Heaton Norris) (URN-106103),106103,15.0,All Saints C. E. Primary SchoolHeaton Norris),mon
16,https://www.monkhouse.com/school/all-saints-c-e-primary-school-rochdale-urn-105829/,All Saints C. E. Primary School (Rochdale) (URN-105829),105829,16.0,All Saints C. E. Primary SchoolRochdale),mon
17,https://www.monkhouse.com/school/school-all-saints-academy-cheltenham-urn-ey469335/,All Saints' Academy Cheltenham (URN-136016),136016,17.0,All Saints' Academy Cheltenham,mon
18,https://www.monkhouse.com/school/all-saints-school-gresford-urn-400458/,All Saints? School (Gresford) (URN-400458),400458,18.0,All Saints? SchoolGresford),mon
19,https://www.monkhouse.com/school/all-souls-church-of-england-primary-school-urn-105811/,All Souls Church Of England Primary School (URN-105811),105811,19.0,All Souls Church Of England Primary School,mon
20,https://www.monkhouse.com/school/alston-lane-catholic-primary-school-urn-119635/,Alston Lane Catholic Primary School (URN-119635),119635,20.0,Alston Lane Catholic Primary School,mon
21,https://www.monkhouse.com/school/altrincham-college-urn-138614/,Altrincham College (URN-138614),138614,21.0,Altrincham College,mon
22,https://www.monkhouse.com/school/altrincham-grammar-school-for-boys-urn-136458/,Altrincham Grammar School for Boys (URN-136458),136458,22.0,Altrincham Grammar School for Boys,mon
23,https://www.monkhouse.com/school/altrincham-grammar-school-for-girls-urn-137289/,Altrincham Grammar School for Girls (URN-137289),137289,23.0,Altrincham Grammar School for Girls,mon
24,https://www.monkhouse.com/school/altrincham-preparatory-school-urn-106379/,Altrincham Preparatory School (URN-106379),106379,24.0,Altrincham Preparatory School,mon
25,https://www.monkhouse.com/school/archbishop-temple-school-urn-119814/,Archbishop Temple School (URN-119814),119814,25.0,Archbishop Temple School,mon
26,https://www.monkhouse.com/school/arden-academy-urn-136333/,Arden Academy (URN-136333),136333,26.0,Arden Academy,mon
27,https://www.monkhouse.com/school/ardingly-college-urn-126133/,Ardingly College (URN-126133),126133,27.0,Ardingly College,mon
28,https://www.monkhouse.com/school/argoed-high-school-urn-401709/,Argoed High School (URN-401709),401709,28.0,Argoed High School,mon
29,https://www.monkhouse.com/school/arunside-primary-school-urn-125883/,Arunside Primary School (URN-125883),125883,29.0,Arunside Primary School,mon
30,https://www.monkhouse.com/school/ashington-ce-school-urn-125971/,Ashington CE School (URN-125971),125971,30.0,Ashington CE School,mon
31,https://www.monkhouse.com/school/ashleworth-church-of-england-primary-school-urn-115663/,Ashleworth Church of England Primary School (URN-115663),115663,31.0,Ashleworth Church of England Primary School,mon
32,https://www.monkhouse.com/school/ashton-gate-primary-school-urn-108912/,Ashton Gate Primary School (URN-108912),108912,32.0,Ashton Gate Primary School,mon
33,https://www.monkhouse.com/school/ashton-on-mersey-school-urn-138123/,Ashton on Mersey School (URN-138123),138123,33.0,Ashton on Mersey School,mon
34,https://www.monkhouse.com/school/ashton-park-school-urn-145398/,Ashton Park School (URN-145398),145398,34.0,Ashton Park School,mon
35,https://www.monkhouse.com/school/ashton-vale-primary-school-urn-145321/,Ashton Vale Primary School (URN-145321),145321,35.0,Ashton Vale Primary School,mon
36,https://www.monkhouse.com/school/ashurst-wood-primary-school-urn-125929/,Ashurst Wood Primary School (URN-125929),125929,36.0,Ashurst Wood Primary School,mon
37,https://www.monkhouse.com/school/aylestone-school-urn-116936-id-371870/,Aylestone School (URN-116936),116936,37.0,Aylestone School,mon
38,https://www.monkhouse.com/school/backwell-school-urn-136722/,Backwell School (URN-136722),136722,38.0,Backwell School,mon
39,https://www.monkhouse.com/school/bacup-rawtenstall-grammar-school-urn-138835/,Bacup & Rawtenstall Grammar School (URN-138835),138835,39.0,Bacup & Rawtenstall Grammar School,mon
40,https://www.monkhouse.com/school/balcarras-school-urn-136474/,Balcarras School (URN-136474),136474,40.0,Balcarras School,mon
41,https://www.monkhouse.com/school/balcombe-church-of-england-primary-school-urn-126006/,Balcombe Church of England Primary School (URN-126006),126006,41.0,Balcombe Church of England Primary School,mon
42,https://www.monkhouse.com/school/bamford-academy-urn-137471/,Bamford Academy (URN-137471),137471,42.0,Bamford Academy,mon
43,https://www.monkhouse.com/school/barnwood-primary-urn-115714/,Barnwood C of E Primary School (URN-115714),115714,43.0,Barnwood C of E Primary School,mon
44,https://www.monkhouse.com/school/barnwood-park-urn-115720/,Barnwood Park School (URN-115720),115720,44.0,Barnwood Park School,mon
45,https://www.monkhouse.com/school/barrs-court-special-school-college-urn-139607-id-371873/,Barrs Court Special School & College (URN-139607),139607,45.0,Barrs Court Special School & College,mon
46,https://www.monkhouse.com/school/barton-clough-primary-school-urn-144649/,Barton Clough Primary School (URN-144649),144649,46.0,Barton Clough Primary School,mon
47,https://www.monkhouse.com/school/barton-court-grammar-school-urn-137474/,Barton Court Grammar School (URN-137474),137474,47.0,Barton Court Grammar School,mon
48,https://www.monkhouse.com/school/barton-manor-school-urn-149039/,Barton Manor School (URN-149039),149039,48.0,Barton Manor School,mon
49,https://www.monkhouse.com/school/battle-abbey-prep-school-urn-114622-1/,Battle Abbey Prep School (URN-114622-1),114622-1,49.0,Battle Abbey Prep School,mon
50,https://www.monkhouse.com/school/battle-abbey-school-urn-114622/,Battle Abbey School (URN-114622),114622,50.0,Battle Abbey School,mon
