id,name,website,email,phone_number,supplier_type
mon,Monkhouse,https://monkhouse.com,web@monkhouse.com,01614767216,0
blo,Blossoms Schoolwear,https://www.blossomsschoolwear.com/,sales@blossomsschoolwear.com,01416398616,0
sch,Schoolwear Made Easy,https://www.schoolwearmadeeasy.com,,01418897206,0
sco,Scotcrest School,https://www.scotcrestschools.co.uk/,,01236768686,0
mac,MacGregor Schoolwear,https://macgregorschoolwear.co.uk,customerservice@macgregorschoolwear.co.uk,01463277755,0
myc,MyClothing,https://myclothing.com/,,,0
sci,School Uniform Scotland,https://schooluniformscotland.com/,,,0
asp,Aspire Academy Glasgow,https://aspireacademyglasgow.com/,,,0
ala,Alan Santry Schoolwear,https://www.alansantryschoolwear.co.uk/,,,0
bor,Border Embroideries,https://www.border-embroideries.co.uk/,,,0
dir,Direct Schoolwear,https://directschoolwear.co.uk/,,,0
ste,Stevensons,https://www.stevensons.co.uk/,,,0
tru,Trutex,https://www.trutex.com/,,,0
ban,Banner,https://www.banner.co.uk,,,0
dav,David Luke,https://www.davidluke.com/,,,0
uni,Uniform Direct,https://www.uniform-direct.com/,,,0
top,Top Form Schoolwear,https://www.top-form.co.uk/,,,0
sma,Smart Schoolwear,https://www.smartschoolwear.co.uk/,,,0
pin,Pinder Schoolwear,https://pindersschoolwear.com/,,,0
