name,price,url,image
White School Polo Shirt 5 Pack,£7.50,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-school-polo-shirt-5-pack/GEM1027123-23619,default,pd.html?clr=White","https://asda.scene7.com/is/image/Asda/5059194006713?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Grey Half Elastic Boys School Trouser 2 Pack,£7,"https://direct.asda.com/george/school/trousers/grey-half-elastic-boys-school-trouser-2-pack/GEM957152-99584,default,pd.html?clr=Grey","https://asda.scene7.com/is/image/Asda/5059191533137?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
White Short Sleeve School Polo Shirts 2 Pack,£3,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White","https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
White Boys Short Sleeve School Shirt 5 Pack,£8.50,"https://direct.asda.com/george/school/boys-school-shirts/white-boys-short-sleeve-school-shirt-5-pack/GEM1087995-23619,default,pd.html?clr=White","https://asda.scene7.com/is/image/Asda/5059196119534?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Cobalt Cotton Rich School Sweatshirts 2 Pack,£5,"https://direct.asda.com/george/school/jumpers-sweatshirts/cobalt-cotton-rich-school-sweatshirts-2-pack/GEM1122134-122253,default,pd.html?clr=Cobalt","https://asda.scene7.com/is/image/Asda/5059191530952?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
White Boys Regular Fit Short Sleeve School Shirt 2 Pack,£3.50,"https://direct.asda.com/george/school/boys-school-shirts/white-boys-regular-fit-short-sleeve-school-shirt-2-pack/GEM1087996-23619,default,pd.html?clr=White","https://asda.scene7.com/is/image/Asda/5059196119718?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
White Crew Neck School T-Shirt 2 Pack,£2,"https://direct.asda.com/george/school/sports-swimwear/white-crew-neck-school-t-shirt-2-pack/GEM895449-23619,default,pd.html?clr=White","https://asda.scene7.com/is/image/Asda/5059188972390?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Regular Leg Boys School Trousers 2 Pack,£8,"https://direct.asda.com/george/school/trousers/black-regular-leg-boys-school-trousers-2-pack/GEM957156-23534,default,pd.html?clr=Black","https://asda.scene7.com/is/image/Asda/5059190721252?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black School Football Shorts 2 Pack,£4,"https://direct.asda.com/george/school/shorts/black-school-football-shorts-2-pack/GEM984736-23534,default,pd.html?clr=Black","https://asda.scene7.com/is/image/Asda/5059192652714?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Days of the Week Cotton Rich Ankle Socks 7 Pack,£4,"https://direct.asda.com/george/kids/underwear-socks/black-days-of-the-week-cotton-rich-ankle-socks-7-pack/GEM1102571,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059196695892?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
