size,price,product_id
3-4 Yrs,£7.50,0
4-5 Yrs,£7.50,0
5-6 Yrs,£7.50,0
6-7 Yrs,£10,0
7-8 Yrs,£10,0
8-9 Yrs,£10,0
9-10 Yrs,£10,0
10-11 Yrs,£10,0
11-12 Yrs,£10,0
12-13 Yrs,£10,0
13-14 Yrs,£10,0
14-15 Yrs,£15,0
15-16 Yrs,£15,0
3-4 Yrs,£7,1
4-5 Yrs,£7,1
5-6 Yrs,£7,1
6-7 Yrs,£9,1
7-8 Yrs,£9,1
8-9 Yrs,£9,1
9-10 Yrs,£9,1
10-11 Yrs,£11,1
11-12 Yrs,£11,1
12-13 Yrs,£11,1
13-14 Yrs,£11,1
3-4 Yrs,£3,2
4-5 Yrs,£3,2
5-6 Yrs,£3,2
6-7 Yrs,£4,2
7-8 Yrs,£4,2
8-9 Yrs,£4,2
9-10 Yrs,£4,2
10-11 Yrs,£5,2
11-12 Yrs,£5,2
12-13 Yrs,£5,2
13-14 Yrs,£5,2
14-15 Yrs,£5,2
15-16 Yrs,£5,2
5-6 Yrs,£8.50,3
6-7 Yrs,£11,3
7-8 Yrs,£11,3
8-9 Yrs,£11,3
9-10 Yrs,£11,3
10-11 Yrs,£13.50,3
11-12 Yrs,£13.50,3
12-13 Yrs,£13.50,3
13-14 Yrs,£13.50,3
14-15 Yrs,£16,3
15-16 Yrs,£16,3
16-17 Yrs,£16,3
17-18 Yrs,£16,3
3-4 Yrs,£5,4
4-5 Yrs,£5,4
5-6 Yrs,£5,4
6-7 Yrs,£7,4
7-8 Yrs,£7,4
8-9 Yrs,£7,4
9-10 Yrs,£7,4
10-11 Yrs,£9,4
11-12 Yrs,£9,4
12-13 Yrs,£9,4
13-14 Yrs,£9,4
14-15 Yrs,£9,4
15-16 Yrs,£9,4
5-6 Yrs,£3.50,5
6-7 Yrs,£4.50,5
7-8 Yrs,£4.50,5
8-9 Yrs,£4.50,5
9-10 Yrs,£4.50,5
10-11 Yrs,£5.50,5
11-12 Yrs,£5.50,5
12-13 Yrs,£5.50,5
13-14 Yrs,£5.50,5
14-15 Yrs,£6.50,5
15-16 Yrs,£6.50,5
16-17 Yrs,£6.50,5
17-18 Yrs,£6.50,5
3-4 Yrs,£2,6
4-5 Yrs,£2,6
5-6 Yrs,£2,6
6-7 Yrs,£3,6
7-8 Yrs,£3,6
8-9 Yrs,£3,6
9-10 Yrs,£3,6
10-11 Yrs,£3,6
11-12 Yrs,£3,6
12-13 Yrs,£3,6
13-14 Yrs,£4,6
14-15 Yrs,£5,6
15-16 Yrs,£5,6
3-4 Yrs,£8,7
4-5 Yrs,£8,7
5-6 Yrs,£8,7
6-7 Yrs,£10,7
7-8 Yrs,£10,7
8-9 Yrs,£10,7
9-10 Yrs,£10,7
10-11 Yrs,£12,7
11-12 Yrs,£12,7
12-13 Yrs,£12,7
13-14 Yrs,£12,7
14-15 Yrs,£14,7
15-16 Yrs,£14,7
16-17 Yrs,£14,7
17-18 Yrs,£14,7
3-4 Yrs,£4,8
4-5 Yrs,£4,8
5-6 Yrs,£4,8
6-7 Yrs,£5,8
7-8 Yrs,£5,8
8-9 Yrs,£5,8
9-10 Yrs,£5,8
10-11 Yrs,£6,8
11-12 Yrs,£6,8
12-13 Yrs,£6,8
13-14 Yrs,£6,8
14-15 Yrs,£7,8
15-16 Yrs,£7,8
UK6-8.5 EU23-26.5,£4,9
UK9-12 EU27-30,£4,9
