school_name,store_page
Avenue End Primary,https://aspireacademyglasgow.com/school/avenue-end-primary/
Bannerman High,https://aspireacademyglasgow.com/school/bannerman-high/
Caledonia Primary,https://aspireacademyglasgow.com/school/caledonia-primary/
Cardonald Primary,https://aspireacademyglasgow.com/school/cardonald-primary/
Carrick Nursery,https://aspireacademyglasgow.com/school/carrick-nursery/
Cranhill Primary,https://aspireacademyglasgow.com/school/cranhill-primary/
Denny High,https://aspireacademyglasgow.com/school/denny-high/
Dunning Primary,https://aspireacademyglasgow.com/school/dunning-primary/
Elmcroft Nursery,https://aspireacademyglasgow.com/school/elmcroft-nursery/
Garrowhill Primary,https://aspireacademyglasgow.com/school/garrowhill-primary/
Glendale Primary,https://aspireacademyglasgow.com/school/glendale-primary/
Haghill Park Primary,https://aspireacademyglasgow.com/school/haghill-park-primary/
Haghill Park Nursery,https://aspireacademyglasgow.com/school/haghill-park-nursery/
Hillington Primary,https://aspireacademyglasgow.com/school/hillington-primary/
Lochend Community High,https://aspireacademyglasgow.com/school/lochend-community-high/
Mount Vernon Primary,https://aspireacademyglasgow.com/school/mount-vernon-primary/
Our Lady of the Rosary Primary,https://aspireacademyglasgow.com/school/our-lady-of-the-rosary-primary/
Our Lady of The Rosary Nursery,https://aspireacademyglasgow.com/school/our-lady-of-the-rosary-nursery/
Sandaig Primary,https://aspireacademyglasgow.com/school/sandaig-primary/
Sandwood Primary,https://aspireacademyglasgow.com/school/sandwood-primary/
St Ambrose High,https://aspireacademyglasgow.com/school/st-ambrose-high/
St Benedicts Primary,https://aspireacademyglasgow.com/school/st-benedicts-primary/
St Bridgets Primary,https://aspireacademyglasgow.com/school/st-bridgets-primary/
St Charles Primary,https://aspireacademyglasgow.com/school/st-charles-primary/
St Clares Primary,https://aspireacademyglasgow.com/school/st-clares/
St Denis Primary,https://aspireacademyglasgow.com/school/st-denis-primary/
St Francis of Assisi Primary,https://aspireacademyglasgow.com/school/st-francis-of-assisi/
St Joachims Primary,https://aspireacademyglasgow.com/school/st-joachims/
St Monica’s Primary,https://aspireacademyglasgow.com/school/st-monicas/
St Paul’s Primary,https://aspireacademyglasgow.com/school/st-pauls-primary/
St Rochs Primary,https://aspireacademyglasgow.com/school/st-rochs-primary/
St Thomas Primary,https://aspireacademyglasgow.com/school/st-thomas-primary/
St Timothys Primary,https://aspireacademyglasgow.com/school/st-timothys-primary/
Sunnyside Primary,https://aspireacademyglasgow.com/school/sunnyside-primary/
Swinton Primary,https://aspireacademyglasgow.com/school/swinton-primary/
Thorntree Primary,https://aspireacademyglasgow.com/school/thorntree-primary/
Trinity High,https://aspireacademyglasgow.com/school/trinity-high/
Wellshot Primary,https://aspireacademyglasgow.com/school/wellshot-primary/
Whitehill Secondary,https://aspireacademyglasgow.com/school/whitehill-secondary/
Whiteinch Primary,https://aspireacademyglasgow.com/school/whiteinch-primary/
