id,product_id,size,price,description
0,0,Choose Options,£4.00,
1,0,25,£4.00,
2,0,50,£4.00,
3,1,Choose Options,£8.29,
4,1,6 (Childrens),£8.29,
5,1,7 (Childrens),£8.29,
6,1,8 (Childrens),£8.29,
7,1,9 (Childrens),£8.29,
8,1,10 (Childrens),£8.29,
9,1,11 (Childrens),£8.29,
10,1,12 (Childrens),£8.29,
11,1,13 (Childrens),£8.29,
12,1,1,£8.29,
13,1,2,£8.29,
14,1,3,£8.29,
15,1,4,£8.29,
16,1,5,£8.89,
17,1,6,£8.89,
18,1,7,£8.89,
19,2,Choose Options,£8.99,
20,2,Age 2/3,£8.99,
21,2,Age 3/4,£8.99,
22,2,Age 4/5,£8.99,
23,2,Age 5/6,£8.99,
24,2,Age 7/8,£8.99,
25,3,Choose Options,£10.99,
26,3,Age 2/3,£10.99,
27,3,Age 3/4,£10.99,
28,3,Age 4/5,£10.99,
29,3,Age 5/6,£10.99,
30,3,Age 7/8,£10.99,
31,4,Choose Options,£10.99,
32,4,3/4,£10.99,
33,4,4/5,£10.99,
34,4,5/6,£10.99,
35,4,6/7,£10.99,
36,4,7/8,£10.99,
37,5,Choose Options,£24.99,
38,5,2/3,£24.99,
39,5,3/4,£24.99,
40,5,4/5,£24.99,
41,5,5/6,£24.99,
42,6,Choose Options,£4.00,
43,6,25,£4.00,
44,6,50,£4.00,
45,7,Choose Options,£8.29,
46,7,6 (Childrens),£8.29,
47,7,7 (Childrens),£8.29,
48,7,8 (Childrens),£8.29,
49,7,9 (Childrens),£8.29,
50,7,10 (Childrens),£8.29,
51,7,11 (Childrens),£8.29,
52,7,12 (Childrens),£8.29,
53,7,13 (Childrens),£8.29,
54,7,1,£8.29,
55,7,2,£8.29,
56,7,3,£8.29,
57,7,4,£8.29,
58,7,5,£8.89,
59,7,6,£8.89,
60,7,7,£8.89,
