schoolsupplier_id,id,name,price,url,image
0,0,Iron on Name Labels,£4.00,https://blossomsschoolwear.com/iron-on-name-labels/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3085/1121/IMG_20210603_105336__80655.1623878236.jpg?c=1
0,1,Velcro Plimsoles (Black) (Cushioned),£8.29,https://blossomsschoolwear.com/velcro-plimsoles-black-cushioned/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3427/2098/PL3220-BLACK-VELCRO-PLIMSOLLS-LORES-1000x1000__51285.1655379206.jpg?c=1
0,2,Maidenhill Nursery Poloshirt,£8.99,https://blossomsschoolwear.com/maidenhill-nursery-poloshirt/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/1305/2282/maidenhill_poloshirt__26328.1658228927.jpg?c=1
0,3,Maidenhill Nursery Sweatshirt,£10.99,https://blossomsschoolwear.com/maidenhill-nursery-sweatshirt/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/1304/2284/maidenhill_round_neck__57348.1658229074.jpg?c=1
0,4,Kids Joggers (Navy),£10.99,https://blossomsschoolwear.com/overlee-family-centre-joggers-navy/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3143/1230/5c5c3e3deb9f5b1c75ce39e6cc213a042__18927.1637752434.jpg?c=1
0,5,Waterproof All in One Kids' Rainsuit (Multiple Colours),£24.99,https://blossomsschoolwear.com/waterproof-all-in-one-kids-rainsuit-multiple-colours/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3145/1232/navy_rg_suit__07316.1637752801.jpg?c=1
1,6,Iron on Name Labels,£4.00,https://blossomsschoolwear.com/iron-on-name-labels/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3085/1121/IMG_20210603_105336__80655.1623878236.jpg?c=1
1,7,Velcro Plimsoles (Black) (Cushioned),£8.29,https://blossomsschoolwear.com/velcro-plimsoles-black-cushioned/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3427/2098/PL3220-BLACK-VELCRO-PLIMSOLLS-LORES-1000x1000__51285.1655379206.jpg?c=1
1,8,Braidbar Nursery Poloshirt (Sky Blue or White),£8.99,https://blossomsschoolwear.com/braidbar-nursery-poloshirt-sky-blue-or-white/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/1756/939/sky_polo__95134.1622745106.jpg?c=1
1,9,Braidbar Nursery Round Neck Sweatshirt,£9.99,https://blossomsschoolwear.com/braidbar-nursery-round-neck-sweatshirt/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/1755/937/best_royal_r_neck__53124.1622745002.jpg?c=1
1,10,Kids Joggers (Navy),£10.99,https://blossomsschoolwear.com/overlee-family-centre-joggers-navy/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3143/1230/5c5c3e3deb9f5b1c75ce39e6cc213a042__18927.1637752434.jpg?c=1
1,11,Waterproof All in One Kids' Rainsuit (Multiple Colours),£24.99,https://blossomsschoolwear.com/waterproof-all-in-one-kids-rainsuit-multiple-colours/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3145/1232/navy_rg_suit__07316.1637752801.jpg?c=1
2,12,Velcro Plimsoles (Black) (Cushioned),£8.29,https://blossomsschoolwear.com/velcro-plimsoles-black-cushioned/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3427/2098/PL3220-BLACK-VELCRO-PLIMSOLLS-LORES-1000x1000__51285.1655379206.jpg?c=1
2,13,Busby Nursery Poloshirt with Logo,£8.99,https://blossomsschoolwear.com/busby-nursery-poloshirt-with-logo/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3150/1249/DL450_emerald2-500x500__45463.1645270275.png?c=1
2,14,Busby Nursery Sweatshirt with Logo,£9.99,https://blossomsschoolwear.com/busby-nursery-sweatshirt-with-logo/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3151/1251/David-Luke-815-NAVY_1__12616.1645270405.jpg?c=1
2,15,Kids Joggers (Navy),£10.99,https://blossomsschoolwear.com/overlee-family-centre-joggers-navy/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3143/1230/5c5c3e3deb9f5b1c75ce39e6cc213a042__18927.1637752434.jpg?c=1
2,16,Waterproof All in One Kids' Rainsuit (Multiple Colours),£24.99,https://blossomsschoolwear.com/waterproof-all-in-one-kids-rainsuit-multiple-colours/,https://cdn11.bigcommerce.com/s-rs9yrk9dh7/images/stencil/original/products/3145/1232/navy_rg_suit__07316.1637752801.jpg?c=1
