schoolsupplier_id,id,name,link,price,image
1,0,Junior Beanie with LED Head Light,https://macgregorschoolwear.co.uk/shop/junior-beanie-with-led-head-light/,£5.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2022/10/bEANIE-324x338.jpg
1,1,Junior Hi Vis Waistcoat,https://macgregorschoolwear.co.uk/shop/junior-hi-vis-waistcoat/,£4.80,https://macgregorschoolwear.co.uk/wp-content/uploads/2017/11/Hi-Vis-324x363.png
1,2,Kids Rainsuits,https://macgregorschoolwear.co.uk/shop/kids-rainsuits/,£16.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2020/11/rain-suit-red-website-324x534.jpg
1,3,PE- Gym Shorts,https://macgregorschoolwear.co.uk/shop/pe-gym-shorts/,£5.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2016/12/shorts-324x399.jpg
1,4,Plimsole –  Slip On *WHILE STOCKS LAST*,https://macgregorschoolwear.co.uk/shop/plimsole-slip-on/,£8.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2016/12/571-324x119.jpg
1,5,Plimsole – Velcro,https://macgregorschoolwear.co.uk/shop/plimsole-velcro/,£7.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2016/12/7217-324x212.jpg
1,6,Russell Reversible School Jacket,https://macgregorschoolwear.co.uk/shop/russell-reversible-school-jacket/,£18.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/02/russell-reversible-school-jacket-324x395.jpg
1,7,School Bag – Black,https://macgregorschoolwear.co.uk/shop/school-bag-black/,£12.95,https://macgregorschoolwear.co.uk/wp-content/uploads/2016/12/bg125-bag-324x399.jpg
1,8,School Polo Shirt,https://macgregorschoolwear.co.uk/shop/school-polo-shirt/,£7.50,https://macgregorschoolwear.co.uk/wp-content/uploads/2023/12/j539b_white_ft2-324x389.jpg
1,9,STIKINS Labels,https://macgregorschoolwear.co.uk/shop/stikinslablels/,£9.59,https://macgregorschoolwear.co.uk/wp-content/uploads/2020/06/labels-1.jpg
2,10,Russell Bottle Green 1/4 Zip Fleece,https://macgregorschoolwear.co.uk/shop/russell-bottle-green-1-4-zip-fleece/,£5.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/8740m_bottlegreen_ft-324x395.jpg
2,11,Russell Burgundy Polo Shirts,https://macgregorschoolwear.co.uk/shop/russell-burgundy-polo-shirts/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/j539m_burgundy_ft-324x395.jpg
2,12,Russell Emerald Cardigan,https://macgregorschoolwear.co.uk/shop/russell-emerald-cardigan/,£4.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/R-273B-0-WL-Winter-Emerald-HR-324x376.jpg
2,13,Russell Emerald V-Neck Sweatshirt,https://macgregorschoolwear.co.uk/shop/russell-emerald-v-neck-sweatshirt/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/R-272M-0-WL-WinterEmerald-HR-324x382.jpg
2,14,Russell Gold T-Shirt,https://macgregorschoolwear.co.uk/shop/russell-gold-t-shirt/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/180M-PGD-FRONT-416x481-1-324x375.jpg
2,15,Russell Royal Blue Polo Shirt,https://macgregorschoolwear.co.uk/shop/russell-royal-blue-polo-shirt/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/j539m_brightroyal_ft-324x395.jpg
2,16,Russell Royal Blue V-Neck Sweatshirt,https://macgregorschoolwear.co.uk/shop/russell-royal-blue-v-neck-sweatshirt/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/j272b_brightroyal_ft2-1-324x395.jpg
2,17,Russell Sky Blue Polo Shirt,https://macgregorschoolwear.co.uk/shop/russell-sky-blue-polo-shirt/,£3.00,https://macgregorschoolwear.co.uk/wp-content/uploads/2024/01/j539b_sky_ft2-324x395.jpg
5,18,Ankerville Nursery Cardigan Sweatshirt,https://macgregorschoolwear.co.uk/shop/ankerville-nursery-cardigan-sweatshirt/,£13.95,https://macgregorschoolwear.co.uk/wp-content/uploads/2017/11/R-273B-0-38-Bottle-logo-324x432.png
5,19,Ankerville Nursery Hoodie,https://macgregorschoolwear.co.uk/shop/ankerville-nursery-hoodie/,£14.95,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ANK-HOOD-324x432.png
5,20,Ankerville Nursery Polo Shirt,https://macgregorschoolwear.co.uk/shop/ankerville-nursery-polo-shirt/,£9.50,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ANK-POLO-324x432.png
5,21,Ankerville Nursery Sweatshirt,https://macgregorschoolwear.co.uk/shop/ankerville-nursery-sweatshirt/,£11.95,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ANK-SWEAT-324x432.png
5,22,Ankerville Nursery T-shirt,https://macgregorschoolwear.co.uk/shop/ankerville-nursery-t-shirt/,£5.95,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ANK-SHT-TSH-324x432.png
6,23,Ardross Nursery Polo Shirt,https://macgregorschoolwear.co.uk/shop/ardross-nursery-polo-shirt/,£9.50,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ARD-POLO-324x432.png
6,24,Ardross Nursery Sweatshirt,https://macgregorschoolwear.co.uk/shop/ardross-nursery-sweatshirt/,£11.95,https://macgregorschoolwear.co.uk/wp-content/uploads/product_images/N-ARD-SWEAT-324x432.png
