store_page,raw_name,urn,schoolsupplier_id,school_name
https://www.monkhouse.com/school/abbey-farm-educate-together-primary-urn-149038/,Abbey Farm Educate Together Primary (URN-149038),149038,0,Abbey Farm Educate Together Primary
https://www.monkhouse.com/school/abbey-meads-community-primary-school-urn-146073/,Abbey Meads Community Primary School (URN-146073),146073,1,Abbey Meads Community Primary School
https://www.monkhouse.com/school/abbey-park-first-nursery-school-urn-116716/,Abbey Park First & Nursery School (URN-116716),116716,2,Abbey Park First & Nursery School
https://www.monkhouse.com/school/abbey-park-middle-school-urn-116774/,Abbey Park Middle School (URN-116774),116774,3,Abbey Park Middle School
https://www.monkhouse.com/school/abbeymead-primary-school-urn-115601/,Abbeymead Primary School (URN-115601),115601,4,Abbeymead Primary School
https://www.monkhouse.com/school/abbeymead-under-5-s-urn-101450/,Abbeymead Under Fives Playgroup (URN-101450),101450,5,Abbeymead Under Fives Playgroup
https://www.monkhouse.com/school/abbotsholme-school-urn-113003/,Abbotsholme School (URN-113003),113003,6,Abbotsholme School
https://www.monkhouse.com/school/abbotswood-primary-school-urn-132199/,Abbotswood Primary School (URN-132199),132199,7,Abbotswood Primary School
https://www.monkhouse.com/school/acre-hall-primary-school-urn-138977/,Acre Hall Primary School (URN-138977),138977,8,Acre Hall Primary School
https://www.monkhouse.com/school/alderbrook-school-urn-136994/,Alderbrook School (URN-136994),136994,9,Alderbrook School
https://www.monkhouse.com/school/alderley-edge-school-for-girls-urn-111478/,Alderley Edge School for Girls (URN-111478),111478,10,Alderley Edge School for Girls
https://www.monkhouse.com/school/alexander-hosea-primary-school-urn-109023/,Alexander Hosea Primary School (URN-109023),109023,11,Alexander Hosea Primary School
https://www.monkhouse.com/school/alexandra-park-junior-school-urn-105626/,Alexandra Park Junior School (URN-105626),105626,12,Alexandra Park Junior School
https://www.monkhouse.com/school/alice-ingham-r-c-school-urn-144982/,Alice Ingham R.C. School (URN-144982),144982,13,Alice Ingham R.C. School
https://www.monkhouse.com/school/all-faiths-children-s-academy-urn-138182/,All Faiths Children's Academy (URN-138182),138182,14,All Faiths Children's Academy
https://www.monkhouse.com/school/all-saints-c-e-primary-school-heaton-norris-urn-106103/,All Saints C. E. Primary School (Heaton Norris) (URN-106103),106103,15,All Saints C. E. Primary SchoolHeaton Norris)
https://www.monkhouse.com/school/all-saints-c-e-primary-school-rochdale-urn-105829/,All Saints C. E. Primary School (Rochdale) (URN-105829),105829,16,All Saints C. E. Primary SchoolRochdale)
https://www.monkhouse.com/school/school-all-saints-academy-cheltenham-urn-ey469335/,All Saints' Academy Cheltenham (URN-136016),136016,17,All Saints' Academy Cheltenham
https://www.monkhouse.com/school/all-saints-school-gresford-urn-400458/,All Saints? School (Gresford) (URN-400458),400458,18,All Saints? SchoolGresford)
https://www.monkhouse.com/school/all-souls-church-of-england-primary-school-urn-105811/,All Souls Church Of England Primary School (URN-105811),105811,19,All Souls Church Of England Primary School
https://www.monkhouse.com/school/alston-lane-catholic-primary-school-urn-119635/,Alston Lane Catholic Primary School (URN-119635),119635,20,Alston Lane Catholic Primary School
https://www.monkhouse.com/school/altrincham-college-urn-138614/,Altrincham College (URN-138614),138614,21,Altrincham College
https://www.monkhouse.com/school/altrincham-grammar-school-for-boys-urn-136458/,Altrincham Grammar School for Boys (URN-136458),136458,22,Altrincham Grammar School for Boys
https://www.monkhouse.com/school/altrincham-grammar-school-for-girls-urn-137289/,Altrincham Grammar School for Girls (URN-137289),137289,23,Altrincham Grammar School for Girls
https://www.monkhouse.com/school/altrincham-preparatory-school-urn-106379/,Altrincham Preparatory School (URN-106379),106379,24,Altrincham Preparatory School
https://www.monkhouse.com/school/archbishop-temple-school-urn-119814/,Archbishop Temple School (URN-119814),119814,25,Archbishop Temple School
https://www.monkhouse.com/school/arden-academy-urn-136333/,Arden Academy (URN-136333),136333,26,Arden Academy
https://www.monkhouse.com/school/ardingly-college-urn-126133/,Ardingly College (URN-126133),126133,27,Ardingly College
https://www.monkhouse.com/school/argoed-high-school-urn-401709/,Argoed High School (URN-401709),401709,28,Argoed High School
https://www.monkhouse.com/school/arunside-primary-school-urn-125883/,Arunside Primary School (URN-125883),125883,29,Arunside Primary School
https://www.monkhouse.com/school/ashington-ce-school-urn-125971/,Ashington CE School (URN-125971),125971,30,Ashington CE School
https://www.monkhouse.com/school/ashleworth-church-of-england-primary-school-urn-115663/,Ashleworth Church of England Primary School (URN-115663),115663,31,Ashleworth Church of England Primary School
https://www.monkhouse.com/school/ashton-gate-primary-school-urn-108912/,Ashton Gate Primary School (URN-108912),108912,32,Ashton Gate Primary School
https://www.monkhouse.com/school/ashton-on-mersey-school-urn-138123/,Ashton on Mersey School (URN-138123),138123,33,Ashton on Mersey School
https://www.monkhouse.com/school/ashton-park-school-urn-145398/,Ashton Park School (URN-145398),145398,34,Ashton Park School
https://www.monkhouse.com/school/ashton-vale-primary-school-urn-145321/,Ashton Vale Primary School (URN-145321),145321,35,Ashton Vale Primary School
https://www.monkhouse.com/school/ashurst-wood-primary-school-urn-125929/,Ashurst Wood Primary School (URN-125929),125929,36,Ashurst Wood Primary School
https://www.monkhouse.com/school/aylestone-school-urn-116936-id-371870/,Aylestone School (URN-116936),116936,37,Aylestone School
https://www.monkhouse.com/school/backwell-school-urn-136722/,Backwell School (URN-136722),136722,38,Backwell School
https://www.monkhouse.com/school/bacup-rawtenstall-grammar-school-urn-138835/,Bacup & Rawtenstall Grammar School (URN-138835),138835,39,Bacup & Rawtenstall Grammar School
https://www.monkhouse.com/school/balcarras-school-urn-136474/,Balcarras School (URN-136474),136474,40,Balcarras School
https://www.monkhouse.com/school/balcombe-church-of-england-primary-school-urn-126006/,Balcombe Church of England Primary School (URN-126006),126006,41,Balcombe Church of England Primary School
https://www.monkhouse.com/school/bamford-academy-urn-137471/,Bamford Academy (URN-137471),137471,42,Bamford Academy
