id,product_id,size,price,description,description_icon_alts,colors
0.0,0.0,,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
1.0,0.0,Age 3-4,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
2.0,0.0,Age 4-5,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
3.0,0.0,Age 5-6,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
4.0,0.0,Age 6-7,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
5.0,0.0,Age 7-8,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
6.0,0.0,Age 8-9,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
7.0,0.0,Age 9-10,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
8.0,0.0,Age 10-11,£12.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
9.0,0.0,Age 11-12,£12.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
