school_name,store_page
Balloch Primary,https://schooluniformscotland.com/product-category/schools/schools-balloch-primary/
Caledonia Primary,https://schooluniformscotland.com/product-category/schools/schools-caledonia-primary/
Cardoss Primary,https://schooluniformscotland.com/product-category/schools/schools-cardoss-primary/
Colgrain Primary,https://schooluniformscotland.com/product-category/schools/schools-colgrain-primary/
John logie Baird Primary,https://schooluniformscotland.com/product-category/schools/schools-john-logie-baird-primary/
Lennox Primary,https://schooluniformscotland.com/product-category/schools/schools-lennox-primary/
Levenvale Primary,https://schooluniformscotland.com/product-category/schools/schools-levenvale-primary/
Newington Green Primary,https://schooluniformscotland.com/product-category/schools/schools-newington-green-primary/
Pakeman Primary,https://schooluniformscotland.com/product-category/schools/schools-pakeman-primary/
St Kessogs Primary,https://schooluniformscotland.com/product-category/schools/schools-st-kessog-s-primary/
St Michael's Primary,https://schooluniformscotland.com/product-category/schools/schools-st-michael-s-primary/
Tidemill Academy,https://schooluniformscotland.com/product-category/schools/schools-tidemill-academy/
Wardie Primary,https://schooluniformscotland.com/product-category/schools/schools-wardie-primary/
