school_name,store_page,schoolsupplier_id,products
Abbey Primary,https://schoolwearmadeeasy.com/collections/abbey-primary,0.0,"[{'schoolsupplier_id': 0, 'id': 0, 'name': 'School Gym Shorts Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/school-gym-shorts-navy', 'price': '£7.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/files/571640c3-e9b5-479f-b830-da33554d4bf6_280x.jpg?v=1683806716 1x,//schoolwearmadeeasy.com/cdn/shop/files/571640c3-e9b5-479f-b830-da33554d4bf6_560x.jpg?v=1683806716 2x'}, {'schoolsupplier_id': 0, 'id': 1, 'name': 'Abbey Primary Poloshirt Sky\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-poloshirt-sky', 'price': '£9.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/629658f5-3d11-4481-934b-62471a7c5197_280x.jpg?v=1634724711 1x,//schoolwearmadeeasy.com/cdn/shop/products/629658f5-3d11-4481-934b-62471a7c5197_560x.jpg?v=1634724711 2x'}, {'schoolsupplier_id': 0, 'id': 2, 'name': 'Abbey Primary Crew Neck Sweatshirt Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-crew-neck-sweatshirt-navy', 'price': '£13.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/4aa090e9-8955-49d2-9c65-afcd10af9e70_280x.jpg?v=1634724708 1x,//schoolwearmadeeasy.com/cdn/shop/products/4aa090e9-8955-49d2-9c65-afcd10af9e70_560x.jpg?v=1634724708 2x'}, {'schoolsupplier_id': 0, 'id': 3, 'name': 'Abbey Primary Tie\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-tie', 'price': '£5.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/cc00a79e-dada-4b66-8e94-5f1f36af51ba_280x.jpg?v=1634724716 1x,//schoolwearmadeeasy.com/cdn/shop/products/cc00a79e-dada-4b66-8e94-5f1f36af51ba_560x.jpg?v=1634724716 2x'}, {'schoolsupplier_id': 0, 'id': 4, 'name': 'Abbey Primary V-Neck Sweatshirt Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-v-neck-sweatshirt-navy', 'price': '£14.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/df9dedd7-0357-4017-9d4b-92ce6b3c3e41_280x.jpg?v=1634724714 1x,//schoolwearmadeeasy.com/cdn/shop/products/df9dedd7-0357-4017-9d4b-92ce6b3c3e41_560x.jpg?v=1634724714 2x'}, {'schoolsupplier_id': 0, 'id': 5, 'name': 'Abbey Primary Sweat Cardigan Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-sweat-cardigan-navy', 'price': '£15.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/62502488-4bbc-4003-92f8-4e2e49bb5855_280x.jpg?v=1634724705 1x,//schoolwearmadeeasy.com/cdn/shop/products/62502488-4bbc-4003-92f8-4e2e49bb5855_560x.jpg?v=1634724705 2x'}, {'schoolsupplier_id': 0, 'id': 6, 'name': 'Abbey Primary Outdoor Fleece Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-outdoor-fleece-navy', 'price': '£16.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/faeac1e1-de2f-476f-9b47-d548a6df8449_280x.jpg?v=1634724692 1x,//schoolwearmadeeasy.com/cdn/shop/products/faeac1e1-de2f-476f-9b47-d548a6df8449_560x.jpg?v=1634724692 2x'}, {'schoolsupplier_id': 0, 'id': 7, 'name': 'Abbey Primary Gym T-Shirt Sky\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-gym-t-shirt-sky', 'price': '£7.95', 'image': '//schoolwearmadeeasy.com/cdn/shop/products/bbd6c36c-4b0e-474c-85ae-6af6ca55f76f_280x.jpg?v=1681222371 1x,//schoolwearmadeeasy.com/cdn/shop/products/bbd6c36c-4b0e-474c-85ae-6af6ca55f76f_560x.jpg?v=1681222371 2x'}, {'schoolsupplier_id': 0, 'id': 8, 'name': 'Abbey Primary Core Kids Winter Parka Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-core-kids-winter-parka-navy', 'price': '£27.50', 'image': ''}, {'schoolsupplier_id': 0, 'id': 9, 'name': 'Abbey Primary Gym Bag Navy\n', 'link': 'https://schoolwearmadeeasy.com/collections/abbey-primary/products/abbey-primary-gym-bag-navy', 'price': '£4.95', 'image': ''}]"
Aberchirder Primary,https://schoolwearmadeeasy.com/collections/aberchirder-primary-school,,
Abronhill Primary,https://schoolwearmadeeasy.com/collections/abronhill-primary-school,,
Aldourie Primary,https://schoolwearmadeeasy.com/collections/aldourie-primary-school,,
Alexander Peden Primary,https://schoolwearmadeeasy.com/collections/alexander-peden-primary-school,,
Alloway Primary,https://schoolwearmadeeasy.com/collections/alloway-primary,,
Alvie Primary,https://schoolwearmadeeasy.com/collections/alvie-primary,,
Annick Primary,https://schoolwearmadeeasy.com/collections/annick-primary,,
Antonine Primary,https://schoolwearmadeeasy.com/collections/antonine-primary,,
Arbirlot Primary,https://schoolwearmadeeasy.com/collections/arbirlot-primary,,
