id,product_id,size,price,description
0,0,Age 3-4,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
1,0,Age 5-6,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
2,0,Age 7-8,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
3,0,Age 9-11,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
4,0,Age 12-13,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
5,0,S,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
6,0,M,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
7,1,Age 1-2,£9.95,
8,1,Age 3-4,£9.95,
9,1,Age 5-6,£9.95,
10,1,Age 7-8,£9.95,
11,1,Age 9-10,£9.95,
12,1,Age 11-12,£9.95,
13,1,Age 13,£9.95,
14,1,S,£9.95,
15,2,Age 1-2,£13.95,
16,2,Age 3-4,£13.95,
17,2,Age 5-6,£13.95,
18,2,Age 7-8,£13.95,
19,2,Age 9-10,£13.95,
20,2,Age 11-12,£13.95,
21,2,Age 13,£13.95,
22,2,S,£13.95,
23,3,45,£5.95,
24,3,Elastic,£5.95,
25,4,Age 3-4,£14.95,
26,4,Age 5-6,£14.95,
27,4,Age 7-8,£14.95,
28,4,Age 9-10,£14.95,
29,4,Age 11-12,£14.95,
30,4,Age 13,£14.95,
31,4,S,£14.95,
32,5,Age 3-4,£15.95,
33,5,Age 5-6,£15.95,
34,5,Age 7-8,£15.95,
35,5,Age 9-10,£15.95,
36,5,Age 11-12,£15.95,
37,5,Age 13,£15.95,
38,5,S,£15.95,
39,6,Age 3-4,£16.95,
40,6,Age 5-6,£16.95,
41,6,Age 7-8,£16.95,
42,6,Age 9-10,£16.95,
43,6,Age 11-12,£16.95,
44,6,XS,£16.95,
45,6,S,£17.95,
46,7,Age 3-4,£7.95,
47,7,Age 5-6,£7.95,
48,7,Age 7-8,£7.95,
49,7,Age 9-11,£7.95,
50,7,Age 12-13,£7.95,
51,7,XS,£7.95,
52,8,Age 3-4,£27.50,
53,8,Age 5-6,£27.50,
54,8,Age 7-8,£27.50,
55,8,Age 9-10,£27.50,
56,8,Age 11-12,£27.50,
57,8,Age 13-14,£27.50,
58,9,One Size,£4.95,
