schoolsupplier_id,id,name,link,price,image
0,0,MICROFIBRE SUMMER CAP (PLAIN),https://www.top-form.co.uk/product/microfibre-summer-cap/,£3.75,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29337_1.jpg
0,1,EMBROIDERED INITIAL,https://www.top-form.co.uk/product/embroidered-initial/,£3.50,https://www.top-form.co.uk/wp-content/uploads/2023/12/EskimoST-9712_1.jpg
0,2,SANDISK USB FLASH DRIVE 32GB,https://www.top-form.co.uk/product/sandisk-usb-flash-drive-32gb/,£7.99,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29201_1.jpg
0,3,RESULT WATERPROOF OVER JACKET BLACK,https://www.top-form.co.uk/product/result-waterproof-over-jacket-black/,£8.50,https://www.top-form.co.uk/wp-content/uploads/2023/10/EskimoST-14124_1.jpg
0,4,SHORT NOBEL,https://www.top-form.co.uk/product/short-nobel/,£4.60,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-10320_1.jpg
0,5,AWDis KIDS ZOODIE-BLACK,https://www.top-form.co.uk/product/awdis-kids-zoodie-black/,£13.50,https://www.top-form.co.uk/wp-content/uploads/2024/05/EskimoST-14347_1.jpg
0,6,ABBOTSWELD JOMA PE T-SHIRTS,https://www.top-form.co.uk/product/abbotsweld-joma-pe-t-shirts/,£8.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-16113_1.jpg
0,7,AWDis KIDS HOODIE BLACK,https://www.top-form.co.uk/product/awdis-kids-hoodie-black/,£10.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14346_1.jpg
0,8,AWDis KIDS JOG PANTS BLACK,https://www.top-form.co.uk/product/awdis-kids-jog-pants-black/,£10.65,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14350_1.jpg
0,9,WATER BOTTLE AND HOLDER,https://www.top-form.co.uk/product/water-bottle-and-holder/,£3.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14080_1.jpg
0,10,IRON ON NAME LABELS IN BLACK ONLY,https://www.top-form.co.uk/product/iron-on-name-labels/,£4.00,https://www.top-form.co.uk/wp-content/uploads/2024/06/EskimoST-30760_1.jpg
0,11,ABBOTSWELD SWEATSHIRT,https://www.top-form.co.uk/product/abbotsweld-sweatshirt/,£10.75,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1408_1.jpg
0,12,ABBOTSWELD CARDIGAN,https://www.top-form.co.uk/product/abbotsweld-cardigan/,£11.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1407_1.jpg
0,13,ABBOTSWELD JACKET,https://www.top-form.co.uk/product/abbotsweld-jacket/,£21.95,https://www.top-form.co.uk/wp-content/uploads/2024/05/EskimoST-30528_1.jpg
0,14,ABBOTSWELD FLEECE,https://www.top-form.co.uk/product/abbotsweld-fleece/,£14.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1402_1.jpg
0,15,ABBOTSWELD POLO,https://www.top-form.co.uk/product/abbotsweld-polo/,£7.25,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1405_1.jpg
1,16,MICROFIBRE SUMMER CAP (PLAIN),https://www.top-form.co.uk/product/microfibre-summer-cap/,£3.75,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29337_1.jpg
1,17,EMBROIDERED INITIAL,https://www.top-form.co.uk/product/embroidered-initial/,£3.50,https://www.top-form.co.uk/wp-content/uploads/2023/12/EskimoST-9712_1.jpg
1,18,SANDISK USB FLASH DRIVE 32GB,https://www.top-form.co.uk/product/sandisk-usb-flash-drive-32gb/,£7.99,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29201_1.jpg
1,19,RESULT WATERPROOF OVER JACKET BLACK,https://www.top-form.co.uk/product/result-waterproof-over-jacket-black/,£8.50,https://www.top-form.co.uk/wp-content/uploads/2023/10/EskimoST-14124_1.jpg
1,20,ECO NAVY SKY SCRUNCHIE,https://www.top-form.co.uk/product/eco-navy-sky-scrunchie/,£3.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14287_1.jpg
1,21,WATER BOTTLE AND HOLDER,https://www.top-form.co.uk/product/water-bottle-and-holder/,£3.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14080_1.jpg
1,22,IRON ON NAME LABELS IN BLACK ONLY,https://www.top-form.co.uk/product/iron-on-name-labels/,£4.00,https://www.top-form.co.uk/wp-content/uploads/2024/06/EskimoST-30760_1.jpg
1,23,ALL SAINTS SWEATSHIRT (REC-Y2),https://www.top-form.co.uk/product/all-saints-sweatshirt/,£10.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1593_1.jpg
1,24,ALL SAINTS JUMPER (YEAR 3-6),https://www.top-form.co.uk/product/all-saints-jumper-year-3-6/,£16.85,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1595_1.jpg
1,25,ALL SAINTS CARDIGAN (REC-Y2),https://www.top-form.co.uk/product/all-saints-cardigan/,£11.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1592_1.jpg
1,26,ALL SAINTS CARDIGAN (YEAR 3-6),https://www.top-form.co.uk/product/all-saints-cardigans-year-3-6/,£17.25,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1462_1.jpg
1,27,ALL SAINTS TIES,https://www.top-form.co.uk/product/all-saints-ties/,£4.00,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-3905_1.jpg
1,28,ALL SAINTS JACKET,https://www.top-form.co.uk/product/all-saints-jacket/,£21.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1479_1.jpg
1,29,ALL SAINTS POLO,https://www.top-form.co.uk/product/all-saints-polo/,£7.75,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-13937_1.jpg
1,30,ALL SAINTS PE T-SHIRT,https://www.top-form.co.uk/product/all-saints-pe-t-shirt/,£5.95,https://www.top-form.co.uk/wp-content/uploads/2023/06/EskimoST-13935_1.jpg
1,31,ALL SAINTS JUNIOR BACKPACL,https://www.top-form.co.uk/product/all-saints-junior-backpacl/,£14.50,https://www.top-form.co.uk/wp-content/uploads/2023/06/EskimoST-3858_1.jpg
2,32,EMBROIDERED INITIAL,https://www.top-form.co.uk/product/embroidered-initial/,£3.50,https://www.top-form.co.uk/wp-content/uploads/2023/12/EskimoST-9712_1.jpg
2,33,SANDISK USB FLASH DRIVE 32GB,https://www.top-form.co.uk/product/sandisk-usb-flash-drive-32gb/,£7.99,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29201_1.jpg
