id,product_id,size,price,description
0,0,Choose Options,£4.00,
1,0,25,£4.00,
2,0,50,£4.00,
3,1,Choose Options,£8.29,
4,1,6 (Childrens),£8.29,
5,1,7 (Childrens),£8.29,
6,1,8 (Childrens),£8.29,
7,1,9 (Childrens),£8.29,
8,1,10 (Childrens),£8.29,
9,1,11 (Childrens),£8.29,
10,1,12 (Childrens),£8.29,
11,1,13 (Childrens),£8.29,
12,1,1,£8.29,
13,1,2,£8.29,
14,1,3,£8.29,
15,1,4,£8.29,
16,1,5,£8.89,
17,1,6,£8.89,
18,1,7,£8.89,
19,2,Choose Options,£8.99,
20,2,Age 2/3,£8.99,
21,2,Age 3/4,£8.99,
22,2,Age 4/5,£8.99,
23,2,Age 5/6,£8.99,
24,2,Age 7/8,£8.99,
25,3,Choose Options,£10.99,
26,3,Age 2/3,£10.99,
27,3,Age 3/4,£10.99,
28,3,Age 4/5,£10.99,
29,3,Age 5/6,£10.99,
30,3,Age 7/8,£10.99,
31,4,Choose Options,£10.99,
32,4,3/4,£10.99,
33,4,4/5,£10.99,
34,4,5/6,£10.99,
35,4,6/7,£10.99,
36,4,7/8,£10.99,
37,5,Choose Options,£24.99,
38,5,2/3,£24.99,
39,5,3/4,£24.99,
40,5,4/5,£24.99,
41,5,5/6,£24.99,
42,6,Choose Options,£4.00,
43,6,25,£4.00,
44,6,50,£4.00,
45,7,Choose Options,£8.29,
46,7,6 (Childrens),£8.29,
47,7,7 (Childrens),£8.29,
48,7,8 (Childrens),£8.29,
49,7,9 (Childrens),£8.29,
50,7,10 (Childrens),£8.29,
51,7,11 (Childrens),£8.29,
52,7,12 (Childrens),£8.29,
53,7,13 (Childrens),£8.29,
54,7,1,£8.29,
55,7,2,£8.29,
56,7,3,£8.29,
57,7,4,£8.29,
58,7,5,£8.89,
59,7,6,£8.89,
60,7,7,£8.89,
61,8,Choose Options,£8.99,
62,8,2/3,£8.99,
63,8,3/4,£8.99,
64,8,4/5,£8.99,
65,8,5/6,£8.99,
66,8,7/8,£8.99,
67,9,Choose Options,£9.99,
68,9,2/3,£9.99,
69,9,3/4,£9.99,
70,9,4/5,£9.99,
71,9,5/6,£9.99,
72,9,7/8,£9.99,
73,10,Choose Options,£10.99,
74,10,3/4,£10.99,
75,10,4/5,£10.99,
76,10,5/6,£10.99,
77,10,6/7,£10.99,
78,10,7/8,£10.99,
79,11,Choose Options,£24.99,
80,11,2/3,£24.99,
81,11,3/4,£24.99,
82,11,4/5,£24.99,
83,11,5/6,£24.99,
84,12,Choose Options,£8.29,
85,12,6 (Childrens),£8.29,
86,12,7 (Childrens),£8.29,
87,12,8 (Childrens),£8.29,
88,12,9 (Childrens),£8.29,
89,12,10 (Childrens),£8.29,
90,12,11 (Childrens),£8.29,
91,12,12 (Childrens),£8.29,
92,12,13 (Childrens),£8.29,
93,12,1,£8.29,
94,12,2,£8.29,
95,12,3,£8.29,
96,12,4,£8.29,
97,12,5,£8.89,
98,12,6,£8.89,
99,12,7,£9.99,
100,13,Choose Options,£8.99,
101,13,2/3,£8.99,
102,13,3/4,£8.99,
103,13,4/5,£8.99,
104,13,5/6,£8.99,
105,13,7/8,£8.99,
106,14,Choose Options,£9.99,
107,14,2/3,£9.99,
108,14,3/4,£9.99,
109,14,4/5,£9.99,
110,14,5/6,£9.99,
111,14,7/8,£9.99,
112,15,Choose Options,£10.99,
113,15,3/4,£10.99,
114,15,4/5,£10.99,
115,15,5/6,£10.99,
116,15,6/7,£10.99,
117,15,7/8,£10.99,
118,16,Choose Options,£24.99,
119,16,2/3,£24.99,
120,16,3/4,£24.99,
121,16,4/5,£24.99,
122,16,5/6,£24.99,
123,17,Choose Options,£4.00,
124,17,25,£4.00,
125,17,50,£4.00,
126,18,Choose Options,£8.29,
127,18,6 (Childrens),£8.29,
128,18,7 (Childrens),£8.29,
129,18,8 (Childrens),£8.29,
130,18,9 (Childrens),£8.29,
131,18,10 (Childrens),£8.29,
132,18,11 (Childrens),£8.29,
133,18,12 (Childrens),£8.29,
134,18,13 (Childrens),£8.29,
135,18,1,£8.29,
136,18,2,£8.29,
137,18,3,£8.29,
138,18,4,£8.29,
139,18,5,£8.89,
140,18,6,£8.89,
141,18,7,£8.89,
142,19,Choose Options,£9.00,
143,19,Age 2/3,£9.00,
144,19,Age 3/4,£9.00,
145,19,Age 4/5,£9.00,
146,19,Age 5/6,£9.00,
147,20,Choose Options,£14.99,
148,20,Age 3/4,£14.99,
149,20,Age 5/6,£14.99,
150,21,Choose Options,£10.99,
151,21,3/4,£10.99,
152,21,4/5,£10.99,
153,21,5/6,£10.99,
154,21,6/7,£10.99,
155,21,7/8,£10.99,
156,22,Choose Options,£14.99,
157,22,Age 3/4,£14.99,
158,22,Age 5/6,£14.99,
159,22,7 / 8,£14.99,
160,23,Choose Options,£24.99,
161,23,2/3,£24.99,
162,23,3/4,£24.99,
163,23,4/5,£24.99,
164,23,5/6,£24.99,
165,24,Choose Options,£4.00,
166,24,25,£4.00,
167,24,50,£4.00,
168,25,Choose Options,£8.29,
169,25,6 (Childrens),£8.29,
170,25,7 (Childrens),£8.29,
171,25,8 (Childrens),£8.29,
172,25,9 (Childrens),£8.29,
173,25,10 (Childrens),£8.29,
174,25,11 (Childrens),£8.29,
175,25,12 (Childrens),£8.29,
176,25,13 (Childrens),£8.29,
177,25,1,£8.29,
178,25,2,£8.29,
179,25,3,£8.29,
180,25,4,£8.29,
181,25,5,£8.29,
182,25,6,£8.89,
183,25,7,£8.89,
184,26,Choose Options,£9.00,
185,26,2/3,£9.00,
186,26,3/4,£9.00,
187,26,4/5,£9.00,
188,26,5/6,£9.00,
189,26,7/8,£9.00,
190,27,Choose Options,£10.00,
191,27,2/3,£10.00,
192,27,3/4,£10.00,
193,27,4/5,£10.00,
194,27,5/6,£10.00,
195,27,7/8,£10.00,
196,28,Choose Options,£10.99,
197,28,3/4,£10.99,
