id,product_id,size,price,description
0.0,0.0,Age 3-4,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
1.0,0.0,Age 5-6,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
2.0,0.0,Age 7-8,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
3.0,0.0,Age 9-11,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
4.0,0.0,Age 12-13,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
5.0,0.0,S,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
6.0,0.0,M,£7.95,"Neoteric™ textured fabric with inherent wickability.
UPF 30+ UV protection.
Elasticated waistband.
Micro mesh lining.
Inner coin pocket.
Two side pockets.
Tear out label."
7.0,1.0,Age 1-2,£9.95,
8.0,1.0,Age 3-4,£9.95,
9.0,1.0,Age 5-6,£9.95,
10.0,1.0,Age 7-8,£9.95,
11.0,1.0,Age 9-10,£9.95,
12.0,1.0,Age 11-12,£9.95,
13.0,1.0,Age 13,£9.95,
14.0,1.0,S,£9.95,
15.0,2.0,Age 1-2,£13.95,
16.0,2.0,Age 3-4,£13.95,
17.0,2.0,Age 5-6,£13.95,
18.0,2.0,Age 7-8,£13.95,
19.0,2.0,Age 9-10,£13.95,
20.0,2.0,Age 11-12,£13.95,
21.0,2.0,Age 13,£13.95,
22.0,2.0,S,£13.95,
23.0,3.0,45,£5.95,
24.0,3.0,Elastic,£5.95,
25.0,4.0,Age 3-4,£14.95,
26.0,4.0,Age 5-6,£14.95,
27.0,4.0,Age 7-8,£14.95,
28.0,4.0,Age 9-10,£14.95,
29.0,4.0,Age 11-12,£14.95,
30.0,4.0,Age 13,£14.95,
31.0,4.0,S,£14.95,
32.0,5.0,Age 3-4,£15.95,
33.0,5.0,Age 5-6,£15.95,
34.0,5.0,Age 7-8,£15.95,
35.0,5.0,Age 9-10,£15.95,
36.0,5.0,Age 11-12,£15.95,
37.0,5.0,Age 13,£15.95,
38.0,5.0,S,£15.95,
39.0,6.0,Age 3-4,£16.95,
40.0,6.0,Age 5-6,£16.95,
41.0,6.0,Age 7-8,£16.95,
42.0,6.0,Age 9-10,£16.95,
43.0,6.0,Age 11-12,£16.95,
44.0,6.0,XS,£16.95,
45.0,6.0,S,£17.95,
46.0,7.0,Age 3-4,£7.95,
47.0,7.0,Age 5-6,£7.95,
48.0,7.0,Age 7-8,£7.95,
49.0,7.0,Age 9-11,£7.95,
50.0,7.0,Age 12-13,£7.95,
51.0,7.0,XS,£7.95,
52.0,8.0,Age 3-4,£27.50,
53.0,8.0,Age 5-6,£27.50,
54.0,8.0,Age 7-8,£27.50,
55.0,8.0,Age 9-10,£27.50,
56.0,8.0,Age 11-12,£27.50,
57.0,8.0,Age 13-14,£27.50,
58.0,9.0,One Size,£4.95,
59.0,10.0,Age 7-8,£14.95,
60.0,10.0,Age 9-10,£14.95,
61.0,10.0,Age 11,£14.95,
62.0,10.0,Age 12,£14.95,
63.0,10.0,Age 13,£14.95,
,,,,
,,,,
,,,,
,,,,
64.0,11.0,Age 3-4,£15.95,
65.0,11.0,Age 5-6,£15.95,
66.0,11.0,Age 7-8,£15.95,
67.0,11.0,Age 9-10,£15.95,
68.0,11.0,Age 11,£15.95,
69.0,11.0,Age 12,£15.95,
70.0,11.0,Age 13,£15.95,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
71.0,12.0,Age 3-4,£14.95,
72.0,12.0,Age 5-6,£14.95,
73.0,12.0,Age 7-8,£14.95,
74.0,12.0,Age 9-10,£14.95,
75.0,12.0,Age 11,£14.95,
76.0,12.0,Age 12,£14.95,
77.0,12.0,Age 13,£14.95,
78.0,12.0,Age 14,£14.95,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
79.0,13.0,Age 3-4,£15.95,
80.0,13.0,Age 5-6,£15.95,
81.0,13.0,Age 7-8,£15.95,
82.0,13.0,Age 9-10,£15.95,
83.0,13.0,Age 11,£15.95,
84.0,13.0,Age 12,£15.95,
85.0,13.0,Age 13,£15.95,
86.0,13.0,Age 14,£15.95,
,,,,
,,,,
,,,,
,,,,
